"대분류","중분류","소분류","기능","설명","작업상태","우선순위","전제조건","인수조건"
"공통","레이아웃","전역구조","고정 헤더 + 좌측 사이드바 레이아웃","모든 페이지에서 상단 헤더와 좌측 메뉴를 고정 제공한다.","진행중","P0","React Router 기반 공통 Layout 구성","1) 라우트 전환 시 레이아웃 유지 2) 콘텐츠 영역만 교체 3) 스크롤 충돌 없음"
"공통","내비게이션","사이드바","섹션별 메뉴 라우팅(홈/워크플로우/운영)","사이드바 메뉴 클릭으로 각 페이지로 이동한다.","진행중","P0","라우트 경로 정의","1) 메뉴 클릭 시 해당 경로 이동 2) 활성 메뉴 하이라이트 3) 경로별 breadcrumb 갱신"
"공통","내비게이션","사이드바","사이드바 접기/펼치기","메뉴를 미니/확장 모드로 전환한다.","진행중","P1","사이드바 상태 관리","1) 토글 즉시 폭 변경 2) 축소 시 아이콘만 노출 3) 레이아웃 깨짐 없음"
"공통","내비게이션","상단","현재 경로 breadcrumb 표시","현재 섹션/페이지명을 헤더에 표시한다.","진행중","P1","경로-메뉴 매핑 데이터","1) 경로 변경 시 breadcrumb 동기화 2) 잘못된 경로 기본값 처리 3) 텍스트 잘림 대응"
"공통","사용자메뉴","계정","유저 카드 팝업(설정/로그아웃)","하단 유저 카드 클릭 시 계정 메뉴를 표시한다.","진행중","P2","외부 클릭 감지 로직","1) 클릭 시 팝업 열림 2) 외부 클릭 시 닫힘 3) 설정 메뉴 이동 가능"
"공통","알림","헤더","알림 배지 UI","헤더에 알림 아이콘과 카운트 배지를 제공한다.","진행중","P2","헤더 컴포넌트 구성","1) 알림 아이콘 노출 2) 배지 숫자 표시 3) 레이아웃 정렬 유지"
"공통","AI어시스턴트","플로팅챗","우하단 플로팅 AI 채팅창","전역에서 AI 챗 버튼으로 대화창을 열고 닫을 수 있다.","진행중","P0","FloatingAiChat 컴포넌트 연결","1) 버튼 클릭 시 챗 열림/닫힘 2) 입력 후 응답 표시 3) 대화 자동 스크롤"
"공통","AI어시스턴트","플로팅챗","근거/신뢰도 카드 렌더링","AI 답변에 evidence와 confidence 정보를 함께 표시한다.","진행중","P1","메시지 데이터 스키마","1) evidence 존재 시 카드 노출 2) key-value 렌더링 정상 3) 메시지별 시간 표시"
"홈","프로젝트","시작","새 프로젝트 설계 시작 버튼","홈에서 새 프로젝트 생성 플로우를 시작한다.","진행중","P0","위저드 모달 상태 관리","1) 버튼 클릭 시 모달 오픈 2) 닫기 동작 정상 3) 초기 상태 리셋"
"홈","프로젝트","위저드","4단계 프로젝트 생성 위저드","목적 설정→유형 선택→데이터 연결→설계 완성 단계를 제공한다.","진행중","P0","단계 상태 및 입력값 관리","1) 단계 전환 가능 2) 필수값 없으면 다음 비활성 3) 완료 시 설문 페이지 이동"
"홈","프로젝트","템플릿","템플릿 라이브러리 선택 생성","템플릿 카드 클릭 시 해당 유형으로 위저드를 시작한다.","진행중","P1","템플릿 메타데이터 정의","1) 카드 정보 노출 2) 클릭 시 템플릿 프리셋 적용 3) 위저드 단계 정상 반영"
"홈","프로젝트","최근활동","최근 프로젝트 카드 목록","최근 프로젝트의 진행상태/응답수/태그를 카드로 노출한다.","진행중","P1","프로젝트 목록 데이터","1) 상태 배지 노출 2) 진행률 바 렌더링 3) 카드 클릭 시 설문 화면 이동"
"세그먼트분석","워크플로우","모바일","워크플로우 스테퍼","모바일에서 분석 단계(분석/설문/실시간/리포트) 이동 UI를 제공한다.","진행중","P1","WorkflowStepper 연결","1) 현재 단계 강조 2) 완료 단계 체크 표시 3) 단계 클릭 이동"
"세그먼트분석","필터","사이드패널","필터 섹션 접기/펼치기","연령/성별/제품군/세그먼트 등 필터 섹션을 토글한다.","진행중","P0","섹션 open 상태 관리","1) 섹션별 독립 토글 2) 카운트 배지 동기화 3) 스크롤 성능 유지"
"세그먼트분석","필터","조건선택","제품군/세그먼트/채널/지역 선택","체크 기반으로 분석 대상 조건을 선택한다.","진행중","P0","체크 상태 데이터 관리","1) 체크 상태 즉시 반영 2) 선택 수 표시 정확 3) 스타일 상태 분기 정상"
"세그먼트분석","시각화","대시보드","세그먼트/채널/제품/지역 차트 렌더링","도넛/바/막대 기반 분포 현황을 시각화한다.","진행중","P0","Recharts 컴포넌트 구성","1) 차트 데이터 정상 표시 2) 툴팁 노출 3) 반응형 깨짐 없음"
"세그먼트분석","필터","적용","분석 필터 적용 버튼","선택한 조건을 반영하는 실행 버튼 UI를 제공한다.","진행중","P1","필터 상태 집계","1) 버튼 노출 2) 클릭 이벤트 연결 3) 추후 API 연동 가능한 구조"
"설문디자인","대화","에이전트챗","좌측 설문 에이전트 채팅","자연어 요청을 입력해 설문 문항 수정을 요청한다.","진행중","P0","채팅 메시지 상태 관리","1) 사용자 입력 전송 2) 봇 응답 표시 3) 엔터 전송 지원"
"설문디자인","문항관리","목록","생성 문항 리스트 표시","우측 패널에서 문항 번호/타입/내용을 카드로 관리한다.","진행중","P0","문항 리스트 상태","1) 문항 목록 렌더링 2) 번호 순서 표시 3) 타입 배지 표시"
"설문디자인","문항관리","편집","문항 추가/수정/삭제","문항 CRUD를 인라인 편집으로 처리한다.","진행중","P0","문항 상태 업데이트 로직","1) 추가 시 신규 문항 생성 2) 편집 저장 반영 3) 삭제 시 페이지 보정"
"설문디자인","문항관리","옵션","문항 옵션 툴팁 메뉴","문항별 상세 설정/품질체크/로직설정 메뉴를 제공한다.","진행중","P1","외부 클릭 감지 로직","1) 메뉴 토글 동작 2) 외부 클릭 시 닫힘 3) 액션 클릭 시 닫힘"
"설문디자인","문항관리","페이지네이션","문항 페이지 이동","문항이 많을 때 페이지 단위로 탐색한다.","진행중","P1","AppPagination 연결","1) 페이지 계산 정확 2) 페이지 이동 시 목록 갱신 3) 삭제 후 페이지 경계 처리"
"설문디자인","산출","저장","설문 저장/미리보기 액션","하단에서 미리보기 및 저장 확정 액션을 제공한다.","진행중","P1","저장 액션 핸들러 연결","1) 버튼 UI 노출 2) 클릭 이벤트 연결 가능 3) 상태바와 문항 수 일치"
"실시간응답","시뮬레이션","제어","라이브 응답 시뮬레이션 시작/중단","실시간 응답 생성 루프를 토글한다.","진행중","P0","interval 기반 스트림 로직","1) 중단 시 생성 중지 2) 재개 시 생성 재시작 3) 메모리 누수 없음"
"실시간응답","피드","스트림","실시간 응답 피드 카드","페르소나 응답을 최신순으로 우측 피드에 노출한다.","진행중","P0","응답 배열 상태 관리","1) 신규 응답 prepend 2) 최대 개수 유지 3) 타임스탬프 표시"
"실시간응답","분석","문항차트","문항별 응답 분포 및 인사이트 카드","선택 문항의 분포 차트와 요약/권장 액션을 표시한다.","진행중","P0","문항 결과 데이터셋","1) 이전/다음 문항 이동 2) 차트 데이터 매핑 정확 3) 인사이트 텍스트 동기화"
"실시간응답","검증","모달","응답 일관성(CoT) 상세 모달","피드 항목 클릭 시 응답 검증 상세를 모달로 제공한다.","진행중","P1","선택 응답 상태 관리","1) 클릭 시 모달 오픈 2) CoT 단계 표시 3) 닫기 동작 정상"
"리포트","내비게이션","섹션","좌측 섹션 내비 + 스크롤 동기화","섹션 버튼 클릭/스크롤 시 현재 섹션을 동기화 표시한다.","진행중","P0","IntersectionObserver 구성","1) 클릭 스크롤 이동 2) 활성 섹션 하이라이트 3) 관찰 해제 처리"
"리포트","배포","다운로드","리포트 포맷 드롭다운 다운로드","PDF/DOCX/PPTX 포맷 선택 메뉴를 제공한다.","진행중","P0","드롭다운 상태 및 외부 클릭 감지","1) 버튼 클릭 시 메뉴 토글 2) 외부 클릭 닫힘 3) 포맷 옵션 노출"
"리포트","분석","시각화","요약 KPI + 차트 기반 리포트 본문","레이더/라인/막대 차트와 문항 통계를 포함한 리포트를 렌더링한다.","진행중","P1","리포트 데이터 구조","1) 섹션별 차트 노출 2) KPI 카드 표시 3) 카드/섹션 레이아웃 정상"
"페르소나관리","목록","뷰전환","카드 뷰/리스트 뷰 전환","페르소나 목록 표시 방식을 카드와 리스트로 전환한다.","진행중","P0","viewMode 상태 관리","1) 토글 시 즉시 전환 2) 각 뷰에서 데이터 일관성 유지 3) 스타일 상태 반영"
"페르소나관리","목록","페이지네이션","페르소나 페이지 탐색","다건 페르소나를 페이지 단위로 탐색한다.","진행중","P1","페이지 계산 로직","1) 페이지 이동 정상 2) 페이지당 항목 수 고정 3) 경계값 처리"
"페르소나관리","상세","모달","페르소나 상세 분석 모달","선택한 페르소나의 프로필/지수/이력/로그를 상세 표시한다.","진행중","P0","선택 페르소나 상태","1) 상세 버튼 클릭 오픈 2) 정보 섹션 정상 렌더링 3) 닫기 동작 정상"
"페르소나관리","검색/등록","입력","검색/신규 등록 액션","검색 입력창과 신규 등록 버튼 UI를 제공한다.","진행중","P2","검색/등록 핸들러 연결","1) 입력창 표시 2) 버튼 인터랙션 가능 3) 추후 API 연동 가능 구조"
"리포트히스토리","아카이브","목록","리포트 아카이브 카드 목록","생성된 리포트를 형식/유형/프로젝트 정보와 함께 표시한다.","진행중","P1","리포트 목록 데이터","1) 카드 반복 렌더링 2) 메타정보 노출 3) 액션 영역 정렬"
"리포트히스토리","아카이브","다운로드","개별 리포트 다운로드 메뉴","리포트별 포맷 다운로드 메뉴를 제공한다.","진행중","P1","open id 상태 관리","1) 항목별 메뉴 토글 2) 외부 클릭 닫힘 3) 옵션 노출 정확"
"리포트히스토리","아카이브","검색/필터","리포트 검색 및 필터 UI","검색창과 필터 버튼 UI를 제공한다.","진행중","P2","검색/필터 로직 연결","1) 입력창 표시 2) 필터 버튼 표시 3) 이벤트 연결 가능"
"설정","운영","사이드네비","설정 섹션 사이드 내비게이션","시스템 관리/AI 엔진/서비스 운영 메뉴를 제공한다.","진행중","P1","설정 메뉴 정의","1) 메뉴 선택 시 active 상태 변경 2) 아이콘/라벨 표시 3) 레이아웃 유지"
"설정","AI엔진","프롬프트","프롬프트 편집기","시스템 프롬프트를 편집하고 초기화/적용 액션을 제공한다.","진행중","P0","프롬프트 상태 관리","1) textarea 양방향 바인딩 2) 초기화 버튼 동작 가능 3) 적용 버튼 UI 제공"
"설정","AI엔진","파라미터","모델 파라미터 슬라이더","Temperature/Top-P 값을 슬라이더로 조정한다.","진행중","P1","슬라이더 입력 컴포넌트","1) 범위 조정 가능 2) 현재 값 표시 3) 안내 문구 표시"
"설정","시스템관리","사용자관리","사용자/권한 관리 섹션","사용자 관리 영역을 준비 상태로 제공한다.","미착수","P2","사용자 관리 API 및 폼 설계","1) 사용자 목록 조회 2) 권한 변경 가능 3) 저장/검증 처리"
"설정","시스템관리","보안/데이터소스","보안 정책/데이터 소스 설정 섹션","보안 정책과 데이터 커넥터 설정 메뉴를 제공한다.","미착수","P2","각 섹션 콘텐츠 구현","1) 메뉴 선택 시 실제 폼 노출 2) 설정값 검증 3) 저장 결과 피드백"
